Sensor 2 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
----------------------------------------------------------------------------------------------------------------

+35.99560547 +15.85546875 +12.36181641 +86.28662109 -5.11962891 -17.33642578 +1489583273.93950010 +13216
+35.99560547 +15.94775391 +12.46289063 +86.37451172 -5.03173828 -17.73193359 +1489583273.94440010 +13228
+35.99560547 +16.02246094 +12.57275391 +86.46240234 -4.94384766 -18.14941406 +1489583273.94930010 +13240
+35.99560547 +16.06640625 +12.70019531 +86.44042969 -4.89990234 -18.56689453 +1489583273.95409990 +13252
+35.99560547 +16.08398438 +12.81005859 +86.35253906 -4.89990234 -18.96240234 +1489583273.95900010 +13268
+35.99560547 +16.07958984 +12.91992188 +86.19873047 -4.92187500 -19.31396484 +1489583273.96390010 +13284
+35.99560547 +16.10156250 +13.02539063 +86.06689453 -4.94384766 -19.68750000 +1489583273.96869990 +13304
+35.99560547 +17.18261719 +12.03222656 +89.84619141 -3.60351563 -9.73388672 +1489583515.57180000 +16352
+35.99560547 +17.16064453 +12.02783203 +89.80224609 -3.47167969 -9.77783203 +1489583515.57670000 +16424
+35.99560547 +17.15185547 +12.02783203 +89.73632813 -3.29589844 -9.79980469 +1489583515.58150010 +16488
+35.99560547 +17.16064453 +12.03662109 +89.71435547 -3.16406250 -9.82177734 +1489583515.58640000 +16536
+35.99560547 +17.20019531 +12.04980469 +89.73632813 -3.01025391 -9.88769531 +1489583515.59130000 +16572
+35.99560547 +17.27490234 +12.07177734 +89.84619141 -2.87841797 -9.95361328 +1489583515.59610010 +16592
+35.99560547 +17.38037109 +12.10693359 +90.00000000 -2.76855469 -10.01953125 +1489583515.60100010 +16604
+35.99560547 +17.45947266 +12.13330078 +90.06591797 -2.70263672 -10.04150391 +1489583515.60579990 +16608
+35.99560547 +17.50341797 +12.13769531 +90.04394531 -2.68066406 -9.99755859 +1489583515.61069990 +16600
+35.99560547 +17.51220703 +12.12890625 +89.91210938 -2.68066406 -9.90966797 +1489583515.61560010 +16588
+35.99560547 +17.52099609 +12.13330078 +89.84619141 -2.68066406 -9.86572266 +1489583515.62040000 +16576
+35.99560547 +17.52539063 +12.13769531 +89.78027344 -2.70263672 -9.82177734 +1489583515.62529990 +16556
+35.99560547 +17.52978516 +12.14648438 +89.71435547 -2.72460938 -9.79980469 +1489583515.63019990 +16536
+35.99560547 +17.52978516 +12.15527344 +89.64843750 -2.72460938 -9.77783203 +1489583515.63500000 +16508
+35.99560547 +17.52539063 +12.16845703 +89.58251953 -2.74658203 -9.77783203 +1489583515.63990000 +16484
+35.99560547 +17.52539063 +12.18164063 +89.53857422 -2.76855469 -9.75585938 +1489583515.64479990 +16452
+35.99560547 +17.51660156 +12.18603516 +89.45068359 -2.79052734 -9.73388672 +1489583515.64960000 +16420
+35.99560547 +17.50781250 +12.19042969 +89.36279297 -2.81250000 -9.68994141 +1489583515.65450000 +16388
+35.99560547 +17.49462891 +12.18603516 +89.27490234 -2.81250000 -9.66796875 +1489583515.65940000 +16352
+35.99560547 +17.48144531 +12.18164063 +89.16503906 -2.83447266 -9.60205078 +1489583515.66420010 +16312
